Name,FTSE BURSA MALAYSIA KLCI - PRICE INDEX
1991/1/1,505.92
1991/1/2,501.23
1991/1/3,497.99
1991/1/4,497.67
1991/1/7,495.63
1991/1/8,485.64
1991/1/9,485.42
1991/1/10,481.78
1991/1/11,482.11
1991/1/14,481.44
1991/1/15,473.76
1991/1/16,470.41
1991/1/17,487.34
1991/1/18,487.56
1991/1/21,480.29
1991/1/22,481.87
1991/1/23,478.76
1991/1/24,479.44
1991/1/25,483.44
1991/1/28,485.24
1991/1/29,489.72
1991/1/30,490.6
1991/1/31,497.26
1991/2/1,497.26
1991/2/4,500.88
1991/2/5,508.98
1991/2/6,513.72
1991/2/7,519.5
1991/2/8,518.93
1991/2/11,518.32
1991/2/12,526.01
1991/2/13,527.6
1991/2/14,527.6
1991/2/15,527.6
1991/2/18,545.96
1991/2/19,555.34
1991/2/20,562.26
1991/2/21,554.42
1991/2/22,554.68
1991/2/25,556.62
1991/2/26,563.47
1991/2/27,561.13
1991/2/28,562.4
1991/3/1,559.51
1991/3/4,567.83
1991/3/5,577.55
1991/3/6,596.29
1991/3/7,599.81
1991/3/8,601.3
1991/3/11,605.85
1991/3/12,599.69
1991/3/13,592.99
1991/3/14,594.23
1991/3/15,599.85
1991/3/18,596.62
1991/3/19,594.54
1991/3/20,579.46
1991/3/21,581.1
1991/3/22,588.89
1991/3/25,590.77
1991/3/26,587.98
1991/3/27,582.6
1991/3/28,582.94
1991/3/29,587.05
1991/4/1,587.06
1991/4/2,584.2
1991/4/3,586.86
1991/4/4,591.17
1991/4/5,591.14
1991/4/8,582.13
1991/4/9,572.44
1991/4/10,572.28
1991/4/11,575.79
1991/4/12,577.28
1991/4/15,580.11
1991/4/16,580.11
1991/4/17,580.11
1991/4/18,595.56
1991/4/19,595.5
1991/4/22,592.16
1991/4/23,588.38
1991/4/24,590.84
1991/4/25,591.45
1991/4/26,594.42
1991/4/29,592.13
1991/4/30,588.72
1991/5/1,588.72
1991/5/2,587.2
1991/5/3,588.09
1991/5/6,579.51
1991/5/7,582.48
1991/5/8,581.94
1991/5/9,584.96
1991/5/10,587.38
1991/5/13,584.99
1991/5/14,587.12
1991/5/15,580.69
1991/5/16,578.87
1991/5/17,583.36
1991/5/20,583.45
1991/5/21,584.2
1991/5/22,592.76
1991/5/23,611.57
1991/5/24,625.81
1991/5/27,630.3
1991/5/28,630.3
1991/5/29,635.02
1991/5/30,633.9
1991/5/31,629.54
1991/6/3,631.44
1991/6/4,625.76
1991/6/5,625.76
1991/6/6,623.73
1991/6/7,620.4
1991/6/10,618.54
1991/6/11,621.71
1991/6/12,623.96
1991/6/13,624.66
1991/6/14,627.13
1991/6/17,632.31
1991/6/18,630.23
1991/6/19,628.04
1991/6/20,623.2
1991/6/21,624.44
1991/6/24,624.91
1991/6/25,623.07
1991/6/26,624.08
1991/6/27,622.69
1991/6/28,618.69
1991/7/1,615.69
1991/7/2,613.5
1991/7/3,608.22
1991/7/4,606.01
1991/7/5,608.04
1991/7/8,604.84
1991/7/9,603.22
1991/7/10,608.11
1991/7/11,603.76
1991/7/12,598.6
1991/7/15,594.25
1991/7/16,595.28
1991/7/17,586.42
1991/7/18,589.54
1991/7/19,592.69
1991/7/22,595.85
1991/7/23,601.92
1991/7/24,601.28
1991/7/25,599.97
1991/7/26,605.46
1991/7/29,607.11
1991/7/30,602.06
1991/7/31,602.32
1991/8/1,600.75
1991/8/2,599.41
1991/8/5,593.16
1991/8/6,587.37
1991/8/7,579.4
1991/8/8,564.88
1991/8/9,565.43
1991/8/12,558.1
1991/8/13,559.57
1991/8/14,569.58
1991/8/15,550.92
1991/8/16,541.66
1991/8/19,505.47
1991/8/20,528.03
1991/8/21,527.88
1991/8/22,553.65
1991/8/23,543.49
1991/8/26,541.74
1991/8/27,538.6
1991/8/28,535.38
1991/8/29,545.8
1991/8/30,553.46
1991/9/2,559.99
1991/9/3,560.05
1991/9/4,561.83
1991/9/5,562.5
1991/9/6,557.92
1991/9/9,559.16
1991/9/10,552.6
1991/9/11,548.78
1991/9/12,549.41
1991/9/13,544.46
1991/9/16,541.34
1991/9/17,536.32
1991/9/18,529.3
1991/9/19,524.2
1991/9/20,524.2
1991/9/23,520.57
1991/9/24,521.03
1991/9/25,523.08
1991/9/26,526.7
1991/9/27,530.7
1991/9/30,522.69
1991/10/1,521.81
1991/10/2,521.77
1991/10/3,518.2
1991/10/4,513.11
1991/10/7,508.25
1991/10/8,508.55
1991/10/9,508.22
1991/10/10,507.37
1991/10/11,510.36
1991/10/14,518.8
1991/10/15,514.59
1991/10/16,517.24
1991/10/17,517.59
1991/10/18,516.6
1991/10/21,514.99
1991/10/22,522.36
1991/10/23,525.98
1991/10/24,533.54
1991/10/25,530.44
1991/10/28,535.43
1991/10/29,534.69
1991/10/30,530.3
1991/10/31,531.4
1991/11/1,537.03
1991/11/4,531.09
1991/11/5,531.09
1991/11/6,531.67
1991/11/7,533.16
1991/11/8,536.19
1991/11/11,554.57
1991/11/12,556.73
1991/11/13,555.85
1991/11/14,553.21
1991/11/15,545.74
1991/11/18,528.6
1991/11/19,535.64
1991/11/20,535.72
1991/11/21,537.59
1991/11/22,539.04
1991/11/25,537.38
1991/11/26,537.07
1991/11/27,536.18
1991/11/28,532.32
1991/11/29,532.09
1991/12/2,528.21
1991/12/3,528.38
1991/12/4,529.41
1991/12/5,529.32
1991/12/6,530.33
1991/12/9,531.42
1991/12/10,531.75
1991/12/11,530.9
1991/12/12,532.69
1991/12/13,537.85
1991/12/16,542.45
1991/12/17,543.3
1991/12/18,540.61
1991/12/19,541.13
1991/12/20,540.64
1991/12/23,545.52
1991/12/24,549.78
1991/12/25,549.78
1991/12/26,550.48
1991/12/27,551.8
1991/12/30,554.38
1991/12/31,556.22
1992/1/1,556.22
1992/1/2,552.16
1992/1/3,552.99
1992/1/6,557.34
1992/1/7,555.66
1992/1/8,553.48
1992/1/9,552.37
1992/1/10,551.9
1992/1/13,548.69
1992/1/14,546.63
1992/1/15,552.28
1992/1/16,569.23
1992/1/17,569.65
1992/1/20,572.23
1992/1/21,570.57
1992/1/22,572.27
1992/1/23,571.64
1992/1/24,568.78
1992/1/27,570.55
1992/1/28,569.84
1992/1/29,573.28
1992/1/30,568.75
1992/1/31,570.64
1992/2/3,570.64
1992/2/4,570.64
1992/2/5,570.64
1992/2/6,575.81
1992/2/7,589.84
1992/2/10,603.35
1992/2/11,604.45
1992/2/12,600.75
1992/2/13,594.63
1992/2/14,595.75
1992/2/17,597.78
1992/2/18,607.67
1992/2/19,618.72
1992/2/20,619.06
1992/2/21,615.73
1992/2/24,610.86
1992/2/25,602.29
1992/2/26,603.16
1992/2/27,600.66
1992/2/28,605.06
1992/3/2,601.93
1992/3/3,597.83
1992/3/4,598.64
1992/3/5,593.93
1992/3/6,590.94
1992/3/9,584.01
1992/3/10,586.95
1992/3/11,588.36
1992/3/12,592.42
1992/3/13,595.22
1992/3/16,591.74
1992/3/17,594.49
1992/3/18,600.4
1992/3/19,597.96
1992/3/20,603.19
1992/3/23,609.33
1992/3/24,609.9
1992/3/25,607.4
1992/3/26,604.27
1992/3/27,602.71
1992/3/30,597.69
1992/3/31,593.21
1992/4/1,588.37
1992/4/2,588.12
1992/4/3,586.46
1992/4/6,586.46
1992/4/7,586.46
1992/4/8,573.61
1992/4/9,563.69
1992/4/10,571.31
1992/4/13,567.51
1992/4/14,564.51
1992/4/15,568.19
1992/4/16,575.83
1992/4/17,575.75
1992/4/20,572.46
1992/4/21,572.57
1992/4/22,573.95
1992/4/23,582.9
1992/4/24,583.71
1992/4/27,581.02
1992/4/28,583.62
1992/4/29,585.12
1992/4/30,591.63
1992/5/1,591.63
1992/5/4,597.47
1992/5/5,603.02
1992/5/6,604.46
1992/5/7,603.56
1992/5/8,605.71
1992/5/11,603.97
1992/5/12,603.31
1992/5/13,598.65
1992/5/14,593.03
1992/5/15,590.34
1992/5/18,590.34
1992/5/19,590.91
1992/5/20,594.09
1992/5/21,592.86
1992/5/22,592.48
1992/5/25,591.93
1992/5/26,592.52
1992/5/27,591.2
1992/5/28,600.17
1992/5/29,589.09
1992/6/1,585.33
1992/6/2,586.74
1992/6/3,588.43
1992/6/4,586.23
1992/6/5,587.16
1992/6/8,585.39
1992/6/9,584.67
1992/6/10,589.52
1992/6/11,589.52
1992/6/12,590.55
1992/6/15,600.17
1992/6/16,602.15
1992/6/17,603.19
1992/6/18,596.5
1992/6/19,596.58
1992/6/22,594.05
1992/6/23,593.52
1992/6/24,594
1992/6/25,598.6
1992/6/26,596.55
1992/6/29,591.14
1992/6/30,592.33
1992/7/1,596.47
1992/7/2,596.47
1992/7/3,596.08
1992/7/6,595.75
1992/7/7,596.7
1992/7/8,595.97
1992/7/9,603.72
1992/7/10,611.57
1992/7/13,616.08
1992/7/14,617.94
1992/7/15,612.36
1992/7/16,611.74
1992/7/17,605.33
1992/7/20,602.76
1992/7/21,605.16
1992/7/22,608.79
1992/7/23,602.24
1992/7/24,593.53
1992/7/27,589.7
1992/7/28,585.77
1992/7/29,590.71
1992/7/30,598.56
1992/7/31,599.3
1992/8/3,601.39
1992/8/4,603.54
1992/8/5,602.58
1992/8/6,598.27
1992/8/7,597.11
1992/8/10,595.16
1992/8/11,597.8
1992/8/12,594.57
1992/8/13,592.18
1992/8/14,581.94
1992/8/17,568.25
1992/8/18,556.24
1992/8/19,560.01
1992/8/20,564.21
1992/8/21,567.66
1992/8/24,565.56
1992/8/25,559.18
1992/8/26,559.51
1992/8/27,567.56
1992/8/28,574.73
1992/8/31,574.73
1992/9/1,573.5
1992/9/2,572.92
1992/9/3,577.71
1992/9/4,581.17
1992/9/7,584.84
1992/9/8,586.61
1992/9/9,586.61
1992/9/10,584.19
1992/9/11,580.79
1992/9/14,583.74
1992/9/15,585.91
1992/9/16,585.15
1992/9/17,587.13
1992/9/18,587.54
1992/9/21,587.99
1992/9/22,588.32
1992/9/23,590.84
1992/9/24,593.07
1992/9/25,602.6
1992/9/28,610.65
1992/9/29,605.93
1992/9/30,602.28
1992/10/1,598.1
1992/10/2,594.59
1992/10/5,594.33
1992/10/6,590.7
1992/10/7,590.59
1992/10/8,591.77
1992/10/9,600.25
1992/10/12,602.6
1992/10/13,605.13
1992/10/14,606.56
1992/10/15,607.38
1992/10/16,608.05
1992/10/19,612.33
1992/10/20,614.96
1992/10/21,615.85
1992/10/22,623.87
1992/10/23,630.07
1992/10/26,630.07
1992/10/27,633.32
1992/10/28,633.31
1992/10/29,637.13
1992/10/30,641.31
1992/11/2,649.06
1992/11/3,653.07
1992/11/4,659.33
1992/11/5,660.35
1992/11/6,654.6
1992/11/9,648.93
1992/11/10,645.32
1992/11/11,646.8
1992/11/12,652.23
1992/11/13,650.62
1992/11/16,646.25
1992/11/17,641.9
1992/11/18,641.77
1992/11/19,637.39
1992/11/20,642.6
1992/11/23,643.79
1992/11/24,642.08
1992/11/25,641.84
1992/11/26,638.79
1992/11/27,640.48
1992/11/30,641.89
1992/12/1,637.23
1992/12/2,641.51
1992/12/3,636.4
1992/12/4,637.61
1992/12/7,635.56
1992/12/8,635.93
1992/12/9,633.52
1992/12/10,633.35
1992/12/11,635.26
1992/12/14,632.54
1992/12/15,628.88
1992/12/16,632.89
1992/12/17,636.11
1992/12/18,641.08
1992/12/21,643.6
1992/12/22,644.94
1992/12/23,645.04
1992/12/24,646.39
1992/12/25,646.39
1992/12/28,645.03
1992/12/29,642.95
1992/12/30,642.66
1992/12/31,643.96
1993/1/1,643.96
1993/1/4,632.83
1993/1/5,630.89
1993/1/6,633.66
1993/1/7,636.26
1993/1/8,629.51
1993/1/11,621.46
1993/1/12,616.46
1993/1/13,614.28
1993/1/14,619.81
1993/1/15,617.49
1993/1/18,624.37
1993/1/19,624.12
1993/1/20,622.61
1993/1/21,625.93
1993/1/22,625.93
1993/1/25,625.93
1993/1/26,626.34
1993/1/27,624.89
1993/1/28,618.41
1993/1/29,624.49
1993/2/1,624.49
1993/2/2,628.38
1993/2/3,639.24
1993/2/4,642.95
1993/2/5,644.83
1993/2/8,641.6
1993/2/9,639.97
1993/2/10,638.62
1993/2/11,635.84
1993/2/12,635.42
1993/2/15,634.91
1993/2/16,635.01
1993/2/17,625.81
1993/2/18,623.11
1993/2/19,629.43
1993/2/22,635.59
1993/2/23,632.28
1993/2/24,634.22
1993/2/25,638.83
1993/2/26,638.19
1993/3/1,634.87
1993/3/2,637
1993/3/3,636.44
1993/3/4,636.67
1993/3/5,638.34
1993/3/8,637.93
1993/3/9,631.79
1993/3/10,637.37
1993/3/11,637.25
1993/3/12,638.05
1993/3/15,634.81
1993/3/16,637.79
1993/3/17,640.39
1993/3/18,640.24
1993/3/19,636.33
1993/3/22,634.65
1993/3/23,634.42
1993/3/24,634.42
1993/3/25,634.42
1993/3/26,634.42
1993/3/29,638.87
1993/3/30,638.92
1993/3/31,643.25
1993/4/1,649.56
1993/4/2,651.45
1993/4/5,656.13
1993/4/6,655.89
1993/4/7,661.35
1993/4/8,657.23
1993/4/9,655.24
1993/4/12,657.13
1993/4/13,655.58
1993/4/14,660.6
1993/4/15,660.73
1993/4/16,662.02
1993/4/19,664.95
1993/4/20,672.53
1993/4/21,691.7
1993/4/22,691.45
1993/4/23,691.65
1993/4/26,693.44
1993/4/27,692.57
1993/4/28,695.43
1993/4/29,705
1993/4/30,719.61
1993/5/3,717.37
1993/5/4,706.08
1993/5/5,706.46
1993/5/6,706.46
1993/5/7,712.95
1993/5/10,716.54
1993/5/11,710.99
1993/5/12,712.67
1993/5/13,718.04
1993/5/14,720
1993/5/17,720.36
1993/5/18,725.46
1993/5/19,729.43
1993/5/20,735.11
1993/5/21,729.35
1993/5/24,724.48
1993/5/25,731.37
1993/5/26,735.39
1993/5/27,736.07
1993/5/28,735.25
1993/5/31,735.25
1993/6/1,740.06
1993/6/2,741.27
1993/6/3,735.06
1993/6/4,732.15
1993/6/7,728.16
1993/6/8,736.28
1993/6/9,734.93
1993/6/10,737.53
1993/6/11,746.29
1993/6/14,743.16
1993/6/15,739.42
1993/6/16,736.51
1993/6/17,720.46
1993/6/18,735.25
1993/6/21,735.25
1993/6/22,724.96
1993/6/23,717.96
1993/6/24,701.66
1993/6/25,708.8
1993/6/28,722.07
1993/6/29,720.58
1993/6/30,721.17
1993/7/1,719.84
1993/7/2,734.73
1993/7/5,732.3
1993/7/6,731.67
1993/7/7,732.66
1993/7/8,733.98
1993/7/9,728.05
1993/7/12,722.82
1993/7/13,718.86
1993/7/14,719.3
