Name,
1997/1/2,6840
1997/1/3,6880
1997/1/6,6880
1997/1/7,6840
1997/1/8,6740
1997/1/9,6600
1997/1/10,6600
1997/1/13,6520
1997/1/14,6480
1997/1/15,6390
1997/1/16,6400
1997/1/17,6470
1997/1/20,6450
1997/1/21,6370
1997/1/22,6330
1997/1/23,6300
1997/1/24,6250
1997/1/27,6200
1997/1/28,6260
1997/1/29,6320
1997/1/30,6370
1997/1/31,6420
1997/2/3,6400
1997/2/4,6370
1997/2/5,6430
1997/2/6,6390
1997/2/7,6410
1997/2/10,6410
1997/2/11,6410
1997/2/12,6390
1997/2/13,6520
1997/2/14,6640
1997/2/17,6610
1997/2/18,6680
1997/2/19,6680
1997/2/20,6650
1997/2/21,6700
1997/2/24,6640
1997/2/25,6610
1997/2/26,6680
1997/2/27,6720
1997/2/28,6710
1997/3/3,6620
1997/3/4,6590
1997/3/5,6510
1997/3/6,6340
1997/3/7,6240
1997/3/10,6260
1997/3/11,6210
1997/3/12,6060
1997/3/13,6100
1997/3/14,6390
1997/3/17,6380
1997/3/18,6280
1997/3/19,6280
1997/3/20,6230
1997/3/21,6280
1997/3/24,6250
1997/3/25,6310
1997/3/26,6340
1997/3/27,6340
1997/3/28,6340
1997/3/31,6330
1997/4/1,6320
1997/4/2,6250
1997/4/3,6150
1997/4/4,6130
1997/4/7,6180
1997/4/8,6200
1997/4/9,6220
1997/4/10,6250
1997/4/11,6240
1997/4/14,6170
1997/4/15,6230
1997/4/16,6240
1997/4/17,6300
1997/4/18,6310
1997/4/21,6330
1997/4/22,6340
1997/4/23,6320
1997/4/24,6300
1997/4/25,6320
1997/4/28,6270
1997/4/29,6240
1997/4/30,6240
1997/5/1,6240
1997/5/2,6370
1997/5/5,6450
1997/5/6,6530
1997/5/7,6500
1997/5/8,6500
1997/5/9,6590
1997/5/12,6590
1997/5/13,6610
1997/5/14,6630
1997/5/15,6680
1997/5/16,6630
1997/5/19,6550
1997/5/20,6560
1997/5/21,6650
1997/5/22,6690
1997/5/23,6750
1997/5/26,6830
1997/5/27,6860
1997/5/28,6890
1997/5/29,6850
1997/5/30,6860
1997/6/2,6860
1997/6/3,7040
1997/6/4,7150
1997/6/5,7250
1997/6/6,7240
1997/6/9,7300
1997/6/10,7250
1997/6/11,7260
1997/6/12,7350
1997/6/13,7540
1997/6/16,7640
1997/6/17,7630
1997/6/18,7740
1997/6/19,7840
1997/6/20,8010
1997/6/23,8190
1997/6/24,8190
1997/6/25,8390
1997/6/26,8570
1997/6/27,8800
1997/6/30,9270
1997/7/1,9040
1997/7/2,9130
1997/7/3,9370
1997/7/4,9470
1997/7/7,9520
1997/7/8,9360
1997/7/9,9260
1997/7/10,9350
1997/7/11,9450
1997/7/14,9520
1997/7/15,9260
1997/7/16,9220
1997/7/17,9170
1997/7/18,9100
1997/7/21,9120
1997/7/22,9260
1997/7/23,9490
1997/7/24,9490
1997/7/25,9720
1997/7/28,9690
1997/7/29,9480
1997/7/30,9410
1997/7/31,9470
1997/8/1,9440
1997/8/4,9240
1997/8/5,9280
1997/8/6,9450
1997/8/7,9510
1997/8/8,9340
1997/8/11,9290
1997/8/12,9310
1997/8/13,9270
1997/8/14,9290
1997/8/15,9260
1997/8/18,9260
1997/8/19,9220
1997/8/20,9330
1997/8/21,9390
1997/8/22,9440
1997/8/25,9650
1997/8/26,9700
1997/8/27,9740
1997/8/28,9820
1997/8/29,9660
1997/9/1,9600
1997/9/2,9570
1997/9/3,9760
1997/9/4,9940
1997/9/5,10270
1997/9/8,10550
1997/9/9,10430
1997/9/10,10460
1997/9/11,10440
1997/9/12,10570
1997/9/15,10560
1997/9/16,10510
1997/9/17,10530
1997/9/18,10650
1997/9/19,10770
1997/9/22,10780
1997/9/23,10820
1997/9/24,10670
1997/9/25,10560
1997/9/26,10500
1997/9/29,10460
1997/9/30,10490
1997/10/1,10520
1997/10/2,10520
1997/10/3,10580
1997/10/6,10520
1997/10/7,10480
1997/10/8,10370
1997/10/9,10430
1997/10/10,10480
1997/10/13,10430
1997/10/14,10470
1997/10/15,10570
1997/10/16,10620
1997/10/17,10610
1997/10/20,10620
1997/10/21,10620
1997/10/22,10730
1997/10/23,10510
1997/10/24,10310
1997/10/27,9450
1997/10/28,9470
1997/10/29,9380
1997/10/30,9210
1997/10/31,9290
1997/11/3,9410
1997/11/4,9550
1997/11/5,9780
1997/11/6,9530
1997/11/7,9220
1997/11/10,9150
1997/11/11,9070
1997/11/12,8690
1997/11/13,8300
1997/11/14,8360
1997/11/17,8630
1997/11/18,8740
1997/11/19,8850
1997/11/20,8860
1997/11/21,9010
1997/11/24,8610
1997/11/25,8490
1997/11/26,8580
1997/11/27,8670
1997/11/28,8710
1997/12/1,8690
1997/12/2,8590
1997/12/3,8450
1997/12/4,8630
1997/12/5,8800
1997/12/8,8800
1997/12/9,8790
1997/12/10,8520
1997/12/11,8320
1997/12/12,8350
1997/12/15,8380
1997/12/16,8420
1997/12/17,8320
1997/12/18,8490
1997/12/19,8340
1997/12/22,8260
1997/12/23,8240
1997/12/24,8210
1997/12/25,8210
1997/12/26,8230
1997/12/29,8350
1997/12/30,8510
1997/12/31,8660
1998/1/1,8660
1998/1/2,8630
1998/1/5,8630
1998/1/6,8540
1998/1/7,8270
1998/1/8,7930
1998/1/9,7580
1998/1/12,7200
1998/1/13,7330
1998/1/14,7420
1998/1/15,7290
1998/1/16,7340
1998/1/19,7340
1998/1/20,7170
1998/1/21,7030
1998/1/22,6690
1998/1/23,6610
1998/1/26,6310
1998/1/27,6570
1998/1/28,6940
1998/1/29,7120
1998/1/30,7330
1998/2/2,7710
1998/2/3,7510
1998/2/4,7530
1998/2/5,7610
1998/2/6,7590
1998/2/9,7450
1998/2/10,7370
1998/2/11,7200
1998/2/12,6860
1998/2/13,7140
1998/2/16,7150
1998/2/17,7240
1998/2/18,7100
1998/2/19,7230
1998/2/20,7300
1998/2/23,7300
1998/2/24,7300
1998/2/25,7130
1998/2/26,7130
1998/2/27,7180
1998/3/2,7310
1998/3/3,7340
1998/3/4,7350
1998/3/5,7270
1998/3/6,7260
1998/3/9,7200
1998/3/10,7220
1998/3/11,7270
1998/3/12,7260
1998/3/13,7460
1998/3/16,7400
1998/3/17,7220
1998/3/18,7350
1998/3/19,7350
1998/3/20,7570
1998/3/23,7860
1998/3/24,7730
1998/3/25,7720
1998/3/26,7780
1998/3/27,7850
1998/3/30,7770
1998/3/31,7690
1998/4/1,7540
1998/4/2,7480
1998/4/3,7440
1998/4/6,7380
1998/4/7,7340
1998/4/8,7280
1998/4/9,7280
1998/4/10,7280
1998/4/13,7340
1998/4/14,7300
1998/4/15,7130
1998/4/16,7030
1998/4/17,6830
1998/4/20,6980
1998/4/21,6990
1998/4/22,6890
1998/4/23,6770
1998/4/24,6640
1998/4/27,6300
1998/4/28,6350
1998/4/29,6250
1998/4/30,6100
1998/5/1,6100
1998/5/4,6000
1998/5/5,6040
1998/5/6,6220
1998/5/7,6260
1998/5/8,6240
1998/5/11,6260
1998/5/12,6350
1998/5/13,6460
1998/5/14,6800
1998/5/15,6920
1998/5/18,6680
1998/5/19,6680
1998/5/20,6520
1998/5/21,6500
1998/5/22,6490
1998/5/25,6490
1998/5/26,6220
1998/5/27,6130
1998/5/28,6160
1998/5/29,6180
1998/6/1,6040
1998/6/2,6000
1998/6/3,5980
1998/6/4,6020
1998/6/5,6060
1998/6/8,6030
1998/6/9,5980
1998/6/10,5880
1998/6/11,5670
1998/6/12,5440
1998/6/15,5440
1998/6/16,5070
1998/6/17,5150
1998/6/18,4920
1998/6/19,5060
1998/6/22,5140
1998/6/23,5240
1998/6/24,5240
1998/6/25,5100
1998/6/26,4950
1998/6/29,4950
1998/6/30,4800
1998/7/1,4820
1998/7/2,4890
1998/7/3,4860
1998/7/6,4770
1998/7/7,4730
1998/7/8,4730
1998/7/9,4640
1998/7/10,4690
1998/7/13,4680
1998/7/14,4780
1998/7/15,4840
1998/7/16,5140
1998/7/17,5140
1998/7/20,5120
1998/7/21,5120
1998/7/22,5050
1998/7/23,4940
1998/7/24,4940
1998/7/27,4820
1998/7/28,4800
1998/7/29,4790
1998/7/30,4870
1998/7/31,4850
1998/8/3,4740
1998/8/4,4660
1998/8/5,4550
1998/8/6,4520
1998/8/7,4390
1998/8/10,4180
1998/8/11,3990
1998/8/12,4000
1998/8/13,4020
1998/8/14,4060
1998/8/17,3970
1998/8/18,3850
1998/8/19,3820
1998/8/20,3460
1998/8/21,3170
1998/8/24,3180
1998/8/25,3270
1998/8/26,3230
1998/8/27,3040
1998/8/28,2900
1998/8/31,2900
1998/9/1,2840
1998/9/2,2950
1998/9/3,2730
1998/9/4,2740
1998/9/7,2770
1998/9/8,2860
1998/9/9,2820
1998/9/10,2690
1998/9/11,2710
1998/9/14,2750
1998/9/15,2860
1998/9/16,2940
1998/9/17,2920
1998/9/18,3010
1998/9/21,2980
1998/9/22,3130
1998/9/23,3370
1998/9/24,3440
1998/9/25,3480
1998/9/28,3730
1998/9/29,3770
1998/9/30,3890
1998/10/1,3600
1998/10/2,3680
1998/10/5,3520
1998/10/6,3540
1998/10/7,3510
1998/10/8,3490
1998/10/9,3620
1998/10/12,3620
1998/10/13,3620
1998/10/14,3620
1998/10/15,3560
1998/10/16,3550
1998/10/19,3520
1998/10/20,3430
1998/10/21,3310
1998/10/22,3380
1998/10/23,3540
1998/10/26,3630
1998/10/27,3650
1998/10/28,3530
1998/10/29,3510
1998/10/30,3630
1998/11/2,3720
1998/11/3,3940
1998/11/4,4010
1998/11/5,3870
1998/11/6,3940
1998/11/9,3810
1998/11/10,3690
1998/11/11,3680
1998/11/12,3600
1998/11/13,3610
1998/11/16,3610
1998/11/17,3700
1998/11/18,3810
1998/11/19,3900
1998/11/20,3950
1998/11/23,3860
1998/11/24,3680
1998/11/25,3730
1998/11/26,3920
1998/11/27,4120
1998/11/30,3940
1998/12/1,3960
1998/12/2,4100
1998/12/3,4090
1998/12/4,3920
1998/12/7,3920
1998/12/8,4790
1998/12/9,5720
1998/12/10,5140
1998/12/11,4610
1998/12/14,4400
1998/12/15,4460
1998/12/16,4500
1998/12/17,4440
1998/12/18,4460
1998/12/21,4560
1998/12/22,4550
1998/12/23,4660
1998/12/24,4700
1998/12/25,4700
1998/12/28,4750
1998/12/29,4730
1998/12/30,4760
1998/12/31,4790
1999/1/1,4790
1999/1/4,4720
1999/1/5,4630
1999/1/6,4620
1999/1/7,4550
1999/1/8,4660
1999/1/11,4660
1999/1/12,4350
1999/1/13,4220
1999/1/14,4120
1999/1/15,4180
1999/1/18,4190
1999/1/19,4050
1999/1/20,4060
1999/1/21,4000
1999/1/22,3920
1999/1/25,3920
1999/1/26,3990
1999/1/27,4100
1999/1/28,4080
1999/1/29,4190
1999/2/1,4350
1999/2/2,4220
1999/2/3,4200
1999/2/4,4200
1999/2/5,4130
1999/2/8,4170
1999/2/9,4170
1999/2/10,4180
1999/2/11,4150
1999/2/12,4100
1999/2/15,4100
1999/2/16,4100
1999/2/17,3940
1999/2/18,3850
1999/2/19,3820
1999/2/22,3900
1999/2/23,3890
1999/2/24,3850
1999/2/25,3790
1999/2/26,3810
1999/3/1,3820
1999/3/2,3790
1999/3/3,3740
1999/3/4,3730
1999/3/5,3710
1999/3/8,3750
1999/3/9,3790
1999/3/10,3840
1999/3/11,3970
1999/3/12,4020
1999/3/15,3960
1999/3/16,3990
1999/3/17,3980
1999/3/18,3970
1999/3/19,3970
1999/3/22,3950
1999/3/23,3860
1999/3/24,3820
1999/3/25,3820
1999/3/26,3830
1999/3/29,3890
1999/3/30,4070
1999/3/31,4130
1999/4/1,4130
1999/4/2,4130
1999/4/5,4290
1999/4/6,4470
1999/4/7,4350
1999/4/8,4250
1999/4/9,4210
1999/4/12,4220
1999/4/13,4170
1999/4/14,4200
1999/4/15,4580
1999/4/16,4950
1999/4/19,4950
1999/4/20,5030
1999/4/21,4990
1999/4/22,5100
1999/4/23,5280
1999/4/26,5460
1999/4/27,5460
1999/4/28,5550
1999/4/29,5460
1999/4/30,5520
1999/5/3,5470
1999/5/4,5610
1999/5/5,5660
1999/5/6,5900
1999/5/7,5900
1999/5/10,6250
1999/5/11,6390
1999/5/12,6310
1999/5/13,6530
1999/5/14,6360
1999/5/17,6360
1999/5/18,6210
1999/5/19,5960
1999/5/20,5800
1999/5/21,5690
1999/5/24,5610
1999/5/25,5390
1999/5/26,5550
1999/5/27,5590
1999/5/28,5580
1999/5/31,5530
1999/6/1,5470
1999/6/2,5470
1999/6/3,5690
1999/6/4,5690
1999/6/7,5690
1999/6/8,5850
1999/6/9,5800
1999/6/10,5750
1999/6/11,5690
1999/6/14,5650
1999/6/15,5690
1999/6/16,5650
1999/6/17,5590
1999/6/18,5550
1999/6/21,5560
1999/6/22,5520
1999/6/23,5460
1999/6/24,5460
1999/6/25,5450
1999/6/28,5450
1999/6/29,5370
1999/6/30,5370
1999/7/1,5200
1999/7/2,5170
1999/7/5,5170
1999/7/6,5100
1999/7/7,5160
1999/7/8,5200
1999/7/9,5210
1999/7/12,5150
1999/7/13,5130
1999/7/14,5200
1999/7/15,5210
1999/7/16,5230
1999/7/19,5240
1999/7/20,5190
1999/7/21,5160
1999/7/22,5140
1999/7/23,5090
1999/7/26,4950
1999/7/27,4730
1999/7/28,4810
1999/7/29,4860
1999/7/30,4950
1999/8/2,4820
1999/8/3,4680
1999/8/4,4690
1999/8/5,4610
1999/8/6,4650
1999/8/9,4620
1999/8/10,4540
1999/8/11,4500
1999/8/12,4540
1999/8/13,4550
1999/8/16,4610
1999/8/17,4580
1999/8/18,4680
1999/8/19,4760
1999/8/20,4740
1999/8/23,4650
1999/8/24,4660
1999/8/25,4620
1999/8/26,4610
1999/8/27,4520
1999/8/30,4400
1999/8/31,4290
1999/9/1,4370
1999/9/2,4410
1999/9/3,4480
1999/9/6,4470
1999/9/7,4430
1999/9/8,4430
1999/9/9,4620
1999/9/10,4890
1999/9/13,5010
1999/9/14,4890
1999/9/15,4940
1999/9/16,4930
1999/9/17,5060
1999/9/20,5380
1999/9/21,5290
1999/9/22,5330
1999/9/23,5690
1999/9/24,5790
1999/9/27,5900
1999/9/28,5750
1999/9/29,5830
1999/9/30,5800
1999/10/1,5640
1999/10/4,5580
1999/10/5,5480
1999/10/6,5600
1999/10/7,5630
1999/10/8,5590
1999/10/11,5570
1999/10/12,5570
1999/10/13,5480
1999/10/14,5450
1999/10/15,5320
1999/10/18,5220
1999/10/19,5260
1999/10/20,5150
1999/10/21,5190
1999/10/22,5330
1999/10/25,5470
1999/10/26,5610
1999/10/27,5570
1999/10/28,5550
1999/10/29,5630
1999/11/1,5630
1999/11/2,5770
1999/11/3,5810
1999/11/4,5860
1999/11/5,5820
1999/11/8,5600
1999/11/9,5570
1999/11/10,5600
1999/11/11,5650
1999/11/12,5600
1999/11/15,5490
1999/11/16,5550
1999/11/17,5600
1999/11/18,5550
1999/11/19,5550
1999/11/22,5480
1999/11/23,5460
1999/11/24,5400
1999/11/25,5350
1999/11/26,5250
1999/11/29,5150
1999/11/30,5160
1999/12/1,5120
1999/12/2,5150
1999/12/3,5290
1999/12/6,5290
1999/12/7,5240
1999/12/8,5190
1999/12/9,5170
1999/12/10,5180
1999/12/13,5160
1999/12/14,5350
1999/12/15,5350
1999/12/16,5350
1999/12/17,5350
1999/12/20,4860
1999/12/21,4910
1999/12/22,5010
1999/12/23,5160
1999/12/24,5170
1999/12/27,5200
1999/12/28,5130
1999/12/29,5190
1999/12/30,5420
